WKT,LINEARID,FULLNAME,RTTYP,MTFCC
"LINESTRING (-85.527969 31.81482,-85.527866 31.814581,-85.527771 31.814377,-85.527633 31.814111,-85.527573 31.813976,-85.527521 31.813838,-85.527478 31.813701,-85.527421 31.813563,-85.527347 31.813433,-85.52718 31.813225)",110685802120,Salem Ch Spr,M,S1400
"LINESTRING (-85.459966 31.87793,-85.459826 31.879691,-85.459795 31.88003,-85.459766 31.880349,-85.459737 31.880932,-85.459736 31.881224,-85.459749 31.881733,-85.459767 31.881949,-85.459806 31.882164,-85.459939 31.88279)",1103732812755,Hwy 51 N,M,S1400
"LINESTRING (-85.13703 31.89146,-85.137026 31.891576,-85.137016 31.891863,-85.13703 31.892804,-85.137025 31.89302,-85.137024 31.893238,-85.13707 31.89464,-85.137065 31.895106,-85.137061 31.895295,-85.137057 31.896574,-85.137106 31.896715,-85.137151 31.896582,-85.137159 31.896407,-85.13717 31.8951,-85.137185 31.893419,-85.13718 31.893229,-85.137177 31.893015,-85.137178 31.892317,-85.137166 31.891575,-85.13717 31.891458)",110685803278,Dr T V McCoo Blvd N,M,S1400
"LINESTRING (-85.276306 31.704339,-85.275915 31.705437,-85.275882 31.705506,-85.275861 31.705582,-85.275825 31.705648,-85.275631 31.706196,-85.27557 31.706402,-85.275014 31.707948,-85.274958 31.708083,-85.274939 31.708153,-85.274879 31.708293,-85.27483 31.708432,-85.274787 31.708571,-85.274167 31.710308,-85.273542 31.712034,-85.273031 31.713447,-85.272775 31.714066,-85.272652 31.714338,-85.27249 31.714677,-85.272406 31.714838,-85.272134 31.715362,-85.272052 31.715491,-85.271959 31.715647,-85.271432 31.716447,-85.271079 31.716947,-85.270749 31.717375,-85.270408 31.717793,-85.270002 31.718258,-85.26963 31.718653,-85.269296 31.718985,-85.268952 31.71931,-85.268655 31.719577,-85.268346 31.719837,-85.267695 31.720372,-85.267458 31.720538,-85.266961 31.720937,-85.265939 31.721759,-85.264261 31.723107,-85.264083 31.723237,-85.26358 31.723654,-85.262711 31.724352,-85.262645 31.724398,-85.262209 31.724742,-85.262153 31.724796,-85.259488 31.726934,-85.258359 31.727839,-85.257924 31.728196,-85.257626 31.728452,-85.257392 31.728667,-85.257167 31.728888,-85.256788 31.729287,-85.256422 31.729715,-85.256233 31.729964,-85.256158 31.730073,-85.255987 31.730331,-85.255905 31.730446,-85.25581 31.730561,-85.255726 31.730685,-85.255397 31.731187,-85.25532 31.731316,-85.25503 31.731765,-85.252394 31.73575,-85.252091 31.736198,-85.251962 31.736379,-85.251674 31.736749,-85.25163 31.736805,-85.251285 31.737221,-85.251074 31.737447,-85.250854 31.737671,-85.250629 31.737893,-85.250454 31.738054,-85.250276 31.738211,-85.249909 31.738519,-85.249763 31.73863,-85.249723 31.738665,-85.249073 31.739126,-85.24762 31.740017,-85.245024 31.741561,-85.244862 31.74165,-85.243902 31.742217,-85.24349 31.742471,-85.243202 31.74264,-85.243098 31.742697,-85.242985 31.742759,-85.242707 31.742924,-85.242577 31.743017,-85.240893 31.744013,-85.239898 31.744579,-85.238886 31.745113,-85.237852 31.745618,-85.2368 31.746101,-85.235058 31.746882,-85.234879 31.746953,-85.234139 31.747287,-85.233915 31.747394,-85.231816 31.748336,-85.230585 31.748889,-85.229909 31.74919,-85.227121 31.750442,-85.227021 31.750478,-85.226517 31.75071,-85.226362 31.750772,-85.225686 31.751084,-85.222965 31.752306,-85.222807 31.752383,-85.222741 31.752402,-85.222574 31.752479,-85.22207 31.75271,-85.219958 31.753662,-85.219504 31.753872,-85.21898 31.754107,-85.218498 31.754323,-85.218159 31.754475,-85.213982 31.756356,-85.213895 31.756387,-85.213641 31.756502,-85.213363 31.756627,-85.21329 31.756664,-85.212394 31.757067,-85.210849 31.757827,-85.210543 31.757988,-85.210387 31.758061,-85.20995 31.758292,-85.209598 31.758486,-85.20583 31.760493,-85.205631 31.760605,-85.20417 31.761381,-85.201121 31.762998,-85.200542 31.763306,-85.199808 31.763697,-85.19801 31.764653,-85.197854 31.764727,-85.197722 31.764805,-85.194678 31.766424,-85.192804 31.76738,-85.192466 31.767556,-85.190887 31.76836,-85.190084 31.768759,-85.189802 31.768911,-85.188643 31.769507,-85.187796 31.769989,-85.186448 31.770875,-85.184914 31.771912,-85.184402 31.772258,-85.183542 31.77284,-85.183464 31.772879,-85.183412 31.77292,-85.183172 31.773087,-85.182972 31.773227,-85.182847 31.773323,-85.182265 31.773751,-85.182161 31.773834,-85.181705 31.774198,-85.181275 31.774556,-85.18086 31.774924,-85.180288 31.775464,-85.180057 31.775682,-85.179247 31.776531,-85.179043 31.776766,-85.17869 31.777175,-85.178153 31.777836,-85.177644 31.778516,-85.177507 31.778721,-85.177437 31.778832,-85.177403 31.778895,-85.177325 31.779011,-85.176927 31.779641,-85.176875 31.779727,-85.17681 31.779838,-85.176694 31.780029,-85.176508 31.78036,-85.176194 31.780941,-85.176021 31.781198,-85.175893 31.781457,-85.175831 31.781592,-85.175637 31.781972,-85.175226 31.782745,-85.174216 31.784617,-85.174154 31.784745,-85.173224 31.786469,-85.172785 31.787286,-85.172751 31.787338,-85.172718 31.7874,-85.172686 31.787459,-85.172657 31.787528,-85.171272 31.790106,-85.170954 31.790699,-85.170656 31.791253,-85.169683 31.793065,-85.169139 31.794078,-85.169061 31.794216,-85.169023 31.794271,-85.168882 31.794535,-85.168818 31.794673,-85.167717 31.79673,-85.167489 31.797155,-85.167468 31.797195,-85.167425 31.797257,-85.166577 31.798844,-85.166512 31.798977,-85.166451 31.799069,-85.166257 31.799441,-85.165515 31.800833,-85.165365 31.80106,-85.165047 31.801659,-85.164966 31.801812,-85.164944 31.801853,-85.16482 31.802127,-85.164784 31.802193,-85.164615 31.802527,-85.164258 31.80325,-85.164227 31.803311,-85.164169 31.80345,-85.164125 31.80359,-85.16404 31.803799,-85.163877 31.804222,-85.163736 31.804641,-85.163559 31.80523,-85.163454 31.805658,-85.163358 31.806091,-85.163293 31.806451,-85.163223 31.806885,-85.163152 31.807467,-85.163139 31.807659,-85.163111 31.807907,-85.163104 31.808053,-85.163107 31.808127,-85.163096 31.808418,-85.163088 31.808929,-85.163087 31.81039,-85.163082 31.810468,-85.163081 31.810772,-85.163089 31.810902,-85.16309 31.814387,-85.163088 31.814898,-85.163095 31.814975,-85.163098 31.815339,-85.163083 31.815705,-85.163084 31.818126,-85.163084 31.819372,-85.16309 31.819523,-85.163081 31.819754,-85.163088 31.820061,-85.163087 31.82078,-85.163081 31.82093,-85.163084 31.821073,-85.163083 31.821305,-85.163083 31.821764,-85.16309 31.821851,-85.163096 31.822042,-85.163092 31.823521,-85.163096 31.824178,-85.163138 31.825049,-85.163174 31.825415,-85.163254 31.825985,-85.163299 31.826248,-85.163345 31.82648,-85.163375 31.826624,-85.16341 31.82677,-85.163429 31.826848,-85.163459 31.826991,-85.163627 31.827705,-85.164223 31.830182,-85.164328 31.83062,-85.164378 31.83083,-85.164837 31.832737,-85.164875 31.832919,-85.165182 31.834204,-85.165239 31.834411,-85.16543 31.835196,-85.165437 31.835277,-85.165477 31.835415,-85.165546 31.8357,-85.165559 31.835746,-85.165586 31.835839,-85.165775 31.836616,-85.165808 31.836769,-85.165988 31.837521,-85.166007 31.837639,-85.166027 31.837702,-85.166096 31.837987,-85.166327 31.838912,-85.166518 31.839698,-85.166556 31.839881,-85.166701 31.840484,-85.166759 31.840698,-85.166765 31.840779,-85.166792 31.840847,-85.166813 31.840928,-85.166902 31.841274,-85.166914 31.841367,-85.166973 31.841578,-85.167021 31.841779,-85.167114 31.842137,-85.167148 31.842295,-85.167176 31.842345,-85.167258 31.842702,-85.167265 31.842781,-85.167299 31.842926,-85.167311 31.843002,-85.167327 31.843066,-85.167424 31.843573,-85.167529 31.84423,-85.167535 31.844337,-85.167546 31.844441,-85.16755 31.844474,-85.167581 31.844817,-85.16761 31.845252,-85.167625 31.84576,-85.167627 31.846039,-85.16763 31.846276,-85.167616 31.84655,-85.167573 31.847059,-85.167552 31.847205,-85.167465 31.847974,-85.167426 31.848229,-85.167238 31.84967,-85.167041 31.85118,-85.166823 31.85283,-85.166731 31.853502,-85.166707 31.853676,-85.16669 31.853774,-85.1665 31.855246,-85.166362 31.856318,-85.16634 31.856464,-85.166271 31.856969,-85.166254 31.857151,-85.166183 31.857644,-85.166141 31.857985,-85.166125 31.858157,-85.16609 31.858447,-85.166067 31.858592,-85.166024 31.858938,-85.165897 31.859434,-85.165843 31.859645,-85.165784 31.859855,-85.165696 31.860137,-85.165647 31.860276,-85.165587 31.860409,-85.16551 31.8606,-85.165443 31.860757,-85.16518 31.86129,-85.164914 31.861746,-85.16462 31.862186,-85.164291 31.862614,-85.163935 31.863019,-85.16357 31.863421,-85.1632 31.86382,-85.163093 31.863943,-85.16188 31.865265,-85.161204 31.866002,-85.159638 31.867699,-85.159288 31.868094,-85.15913 31.868257,-85.158958 31.868416,-85.15879 31.868586,-85.158621 31.86875,-85.158489 31.868868,-85.15827 31.869055,-85.158159 31.869086)",110685798970,US Hwy 431 S,U,S1200
"LINESTRING (-85.267695 31.720372,-85.267865 31.720716,-85.268248 31.721865,-85.268821 31.723559,-85.269312 31.725028,-85.269447 31.725516,-85.269485 31.725735,-85.269518 31.725947,-85.269553 31.726392,-85.269594 31.727195,-85.269738 31.729736,-85.269748 31.729953,-85.269744 31.730171,-85.269715 31.730392,-85.269672 31.730606,-85.269587 31.73089,-85.269474 31.731166,-85.268852 31.732446,-85.268695 31.732786,-85.268529 31.733197,-85.268414 31.733544,-85.268349 31.733806,-85.268297 31.734053,-85.268235 31.734527,-85.268213 31.734894,-85.268214 31.735259,-85.268258 31.736354,-85.268281 31.736718,-85.268319 31.737083,-85.268378 31.737443,-85.268458 31.737803,-85.268559 31.73816,-85.26868 31.73851,-85.26882 31.738855,-85.268972 31.739198,-85.269143 31.739532,-85.269333 31.73986,-85.269541 31.740179,-85.269769 31.740488,-85.270012 31.740787,-85.270274 31.741077,-85.270437 31.741244,-85.270547 31.741357,-85.270831 31.74163,-85.270896 31.741691,-85.271222 31.741998,-85.271691 31.742441,-85.271986 31.742706,-85.272299 31.742954,-85.27264 31.743177,-85.273002 31.743371,-85.273382 31.743539,-85.273781 31.743673,-85.274193 31.743775,-85.274614 31.743842,-85.27504 31.74388,-85.275471 31.743884,-85.276325 31.743848,-85.276752 31.743823,-85.27718 31.743803,-85.277608 31.743778,-85.277719 31.743766,-85.277896 31.743743,-85.278007 31.743735,-85.279117 31.743679,-85.279543 31.743671,-85.279967 31.743701,-85.280386 31.743765,-85.280793 31.743864,-85.281185 31.744002,-85.281566 31.744165,-85.282376 31.744531,-85.283071 31.74485,-85.283425 31.74505,-85.283751 31.745285,-85.28417 31.745647,-85.28443 31.745895,-85.284539 31.745997,-85.285868 31.747245,-85.286439 31.747788,-85.287015 31.748329,-85.287586 31.748874,-85.289024 31.750229,-85.289308 31.750507,-85.289549 31.75081,-85.289752 31.751135,-85.289906 31.751477,-85.290014 31.751833,-85.290075 31.752198,-85.290083 31.752564,-85.29004 31.752928,-85.289815 31.754007,-85.289585 31.755083,-85.289516 31.755444,-85.289458 31.755806,-85.289415 31.756169,-85.289387 31.756533,-85.289374 31.756897,-85.289374 31.757263,-85.289406 31.758719,-85.289418 31.759446,-85.289438 31.760134,-85.289465 31.761629,-85.28949 31.762357,-85.289513 31.762721,-85.289547 31.763084,-85.289666 31.764031,-85.289684 31.764176,-85.289779 31.764904,-85.289821 31.765268,-85.289857 31.765632,-85.289886 31.765999,-85.289897 31.766365,-85.2899 31.766732,-85.289889 31.767462,-85.289824 31.770383,-85.289806 31.771111,-85.289799 31.771839,-85.2898 31.772201,-85.289825 31.772564,-85.289898 31.772922,-85.290014 31.773272,-85.290169 31.773612,-85.290361 31.773938,-85.290962 31.774907,-85.291157 31.775219,-85.291364 31.77555,-85.291575 31.775867,-85.291814 31.776168,-85.291832 31.776187,-85.292084 31.77645,-85.292383 31.776707,-85.292715 31.776934,-85.293074 31.777127,-85.293457 31.777288,-85.293854 31.777419,-85.297889 31.778627,-85.298288 31.778762,-85.298675 31.77892,-85.299045 31.779106,-85.299389 31.779324,-85.29971 31.779564,-85.300024 31.779813,-85.301262 31.780822,-85.3017 31.781173,-85.302536 31.781766,-85.302966 31.782057,-85.303072 31.782128,-85.303555 31.782432,-85.303907 31.782639,-85.304777 31.783114,-85.305017 31.783236,-85.305302 31.783366,-85.305445 31.783441,-85.305567 31.7835,-85.305963 31.783704,-85.306321 31.783905,-85.3065 31.784016,-85.306668 31.784119,-85.307 31.784352,-85.307314 31.784599,-85.307612 31.784864,-85.307894 31.785139,-85.308446 31.785695,-85.308717 31.785977,-85.308977 31.786267,-85.309208 31.786576,-85.309401 31.786902,-85.309555 31.787245,-85.309671 31.787596,-85.309758 31.787952,-85.309771 31.788061,-85.309785 31.788175,-85.309796 31.788584,-85.309785 31.788693,-85.309777 31.788888,-85.309744 31.789109,-85.30966 31.789469,-85.309546 31.789822,-85.309422 31.790173,-85.308712 31.792279,-85.308148 31.793927,-85.307751 31.795085,-85.307745 31.795106,-85.307645 31.795439,-85.307554 31.795795,-85.307474 31.796156,-85.307401 31.796516,-85.307336 31.796876,-85.307286 31.797238,-85.307257 31.797603,-85.307254 31.797967,-85.307279 31.798332,-85.307327 31.798693,-85.307396 31.799053,-85.307491 31.799408,-85.307613 31.799758,-85.30776 31.8001,-85.307929 31.800435,-85.30812 31.80076,-85.308327 31.801079,-85.308754 31.801714,-85.308972 31.802028,-85.309213 31.802386,-85.309397 31.802663,-85.310257 31.80393,-85.310908 31.804875,-85.31113 31.805186,-85.311366 31.805489,-85.31163 31.805773,-85.311916 31.806044,-85.312222 31.806296,-85.312553 31.806527,-85.312892 31.806746,-85.314276 31.807605,-85.314623 31.807816,-85.314978 31.808018,-85.315349 31.808199,-85.315728 31.808359,-85.316142 31.808523,-85.316642 31.808634,-85.316809 31.808666,-85.316851 31.808673,-85.316968 31.808691,-85.317163 31.808714,-85.317507 31.808791,-85.317922 31.808891,-85.319177 31.809119,-85.320011 31.809284,-85.320425 31.809378,-85.320822 31.809504,-85.321209 31.80966,-85.321578 31.809846,-85.321925 31.81006,-85.322902 31.810767,-85.324847 31.812203,-85.325881 31.812954,-85.326037 31.813075,-85.326111 31.813118,-85.327476 31.814126,-85.328129 31.814599,-85.328777 31.815075,-85.329105 31.815307,-85.329444 31.815529,-85.329797 31.815737,-85.330158 31.81593,-85.330907 31.816283,-85.33136 31.816489,-85.33154 31.816581,-85.331652 31.816646,-85.331986 31.816876,-85.332277 31.817147,-85.332521 31.817448,-85.332716 31.817774,-85.332855 31.818122,-85.332942 31.81848,-85.333463 31.821143,-85.333484 31.821272,-85.333505 31.821358,-85.333852 31.823158,-85.334074 31.824236,-85.334154 31.824593,-85.334248 31.82495,-85.334352 31.825304,-85.334467 31.825657,-85.334715 31.826356,-85.334979 31.82705,-85.335509 31.828433,-85.335778 31.829133,-85.336175 31.830176,-85.336576 31.831216,-85.337374 31.833304,-85.338296 31.835734,-85.338573 31.836422,-85.338668 31.836634,-85.338901 31.837097,-85.339086 31.837428,-85.339283 31.837752,-85.339491 31.838071,-85.339715 31.838382,-85.339951 31.838686,-85.3402 31.838984,-85.340461 31.839272,-85.340734 31.839554,-85.341016 31.839829,-85.34131 31.840093,-85.341615 31.840349,-85.341927 31.840597,-85.34225 31.840835,-85.342582 31.841064,-85.343106 31.841396,-85.343665 31.841725,-85.344582 31.842259,-85.345632 31.84289,-85.348098 31.844335,-85.348799 31.844752,-85.349145 31.844967,-85.349482 31.845194,-85.349808 31.845432,-85.350119 31.845684,-85.350417 31.845947,-85.3507 31.846221,-85.350969 31.846508,-85.351219 31.846804,-85.351456 31.847111,-85.351673 31.847427,-85.351874 31.847749,-85.352057 31.848081,-85.352925 31.849753,-85.35328 31.850419,-85.353453 31.850753,-85.353621 31.851092,-85.353777 31.851434,-85.353917 31.85178,-85.354042 31.85213,-85.354155 31.852482,-85.354251 31.852838,-85.354331 31.853196,-85.354397 31.853556,-85.354804 31.856084,-85.354857 31.856443,-85.355036 31.857527,-85.355099 31.857888,-85.355173 31.858247,-85.355271 31.858602,-85.355399 31.858951,-85.355559 31.859288,-85.355744 31.859617,-85.355819 31.859729,-85.355955 31.859933,-85.356421 31.860546,-85.356564 31.860729,-85.35737 31.861763,-85.358074 31.862679,-85.358536 31.863293,-85.358747 31.863612,-85.358926 31.863945,-85.359073 31.86429,-85.359196 31.864638,-85.359289 31.86499,-85.359484 31.866077,-85.359558 31.866531,-85.359585 31.866656,-85.359736 31.867522,-85.359783 31.867754,-85.359919 31.868571,-85.359996 31.869137)",110685798781,Co Rd 79 S,C,S1400
"LINESTRING (-85.13717 31.891458,-85.137158 31.891225,-85.137148 31.890737,-85.137144 31.890195,-85.137133 31.889978,-85.137109 31.888532,-85.137084 31.887276,-85.137086 31.887192,-85.137076 31.886984,-85.137058 31.885966,-85.137049 31.88576,-85.137058 31.885697,-85.137017 31.885632,-85.136938 31.885658,-85.136917 31.885729,-85.136947 31.887197,-85.136959 31.887636,-85.136968 31.888363,-85.136973 31.888539,-85.137003 31.889977,-85.137017 31.890738,-85.137031 31.891332,-85.13703 31.89146)",110685803281,Dr T V McCoo Blvd S,M,S1400
"LINESTRING (-85.186113 31.851439,-85.186031 31.851369,-85.185575 31.851023,-85.184592 31.8503,-85.184409 31.850156,-85.183332 31.849359)",110685800137,Sandy Ln E,M,S1400
"LINESTRING (-85.186113 31.851439,-85.186417 31.851708,-85.189273 31.854322,-85.190488 31.855443,-85.19089 31.85582,-85.191413 31.856288)",110685800141,Sandy Ln W,M,S1400
"LINESTRING (-85.423843 31.776708,-85.423489 31.777518,-85.423103 31.779073,-85.423099 31.779666)",110685806623,,,S1400
"LINESTRING (-85.409597 31.776051,-85.410374 31.776064,-85.410503 31.776537)",110685806622,,,S1400
