WKT,LINEARID,FULLNAME,RTTYP,MTFCC
"LINESTRING (-85.48931 31.972006,-85.489176 31.972075,-85.489257 31.972327,-85.48966 31.972602,-85.490144 31.972762,-85.49181 31.972807,-85.494713 31.973424,-85.497213 31.974821,-85.49802 31.975096)",110685800487,Keeler Rd,M,S1400
"LINESTRING (-85.462348 31.950868,-85.461919 31.951029,-85.461112 31.951143,-85.460871 31.951281,-85.460763 31.951647,-85.460656 31.95261,-85.46028 31.953686,-85.460334 31.954168,-85.460737 31.954809,-85.460845 31.955176,-85.460737 31.955817,-85.460979 31.956275,-85.461812 31.957008,-85.462135 31.957535,-85.462162 31.957764,-85.462431 31.958131,-85.462646 31.958291)",110685800297,Canyon Rd,M,S1400
"LINESTRING (-85.445642 31.878157,-85.445649 31.878362,-85.445657 31.879176,-85.445655 31.879299)",110685798910,3rd Ln,M,S1400
"LINESTRING (-85.43426 31.935362,-85.434009 31.935749,-85.433716 31.93596,-85.433253 31.936155,-85.43297 31.936438,-85.432695 31.936787,-85.432343 31.937306,-85.431993 31.937509,-85.432115 31.93772,-85.432207 31.938329,-85.432083 31.93858,-85.431355 31.939075)",110685807217,,,S1400
"LINESTRING (-85.453919 31.882566,-85.453901 31.882706,-85.453884 31.882924,-85.453746 31.88426)",110685802119,Rosemont St,M,S1400
"LINESTRING (-85.449649 31.878406,-85.449508 31.878406)",110685806441,,,S1400
"LINESTRING (-85.447415 31.87815,-85.447411 31.877996,-85.447427 31.877411,-85.447448 31.877136)",110685798485,1 Ln,M,S1400
"LINESTRING (-85.461831 31.880235,-85.466147 31.88043,-85.466736 31.880395,-85.466724 31.88105,-85.466734 31.881255,-85.466748 31.881764,-85.466756 31.88197,-85.466822 31.8838)",110685799271,Boyd Dr,M,S1400
"LINESTRING (-85.369331 31.882887,-85.370244 31.883642,-85.372473 31.884008,-85.373305 31.88442,-85.374084 31.885176,-85.37438 31.885657,-85.37449 31.886527,-85.374938 31.887076,-85.375319 31.887486,-85.375373 31.88783,-85.375359 31.888449,-85.375404 31.888714,-85.375413 31.88877,-85.375709 31.889182,-85.375763 31.889938,-85.375359 31.890327,-85.375332 31.890786,-85.375385 31.891015,-85.37611 31.891748,-85.376379 31.891817)",110685806549,,,S1400
"LINESTRING (-85.371199 31.871566,-85.370958 31.871727,-85.370217 31.873137,-85.369429 31.874636,-85.368639 31.87516,-85.367715 31.875551,-85.367286 31.875854,-85.36632 31.877321,-85.365945 31.877802,-85.36565 31.87849,-85.36565 31.87936,-85.366349 31.880528,-85.366967 31.881307,-85.36737 31.881536,-85.368578 31.881444,-85.368739 31.881535,-85.368954 31.881948,-85.368981 31.8822,-85.369089 31.882245,-85.369331 31.882887)",110685806550,,,S1400
"LINESTRING (-85.430862 31.925495,-85.431026 31.925822,-85.431807 31.9272,-85.432602 31.928579,-85.433366 31.929963,-85.434198 31.931315,-85.43506 31.932664,-85.435332 31.933121,-85.43536 31.933182,-85.43555 31.9336,-85.435717 31.934093,-85.435837 31.934594,-85.435921 31.934802,-85.436112 31.935104,-85.436223 31.935245,-85.436328 31.935361,-85.43668 31.935748,-85.437341 31.936595,-85.437674 31.937014,-85.438092 31.937379,-85.438554 31.937703,-85.440014 31.938596,-85.440238 31.938704,-85.440478 31.938778,-85.440604 31.938793,-85.44073 31.938808,-85.441909 31.938995,-85.443671 31.939283,-85.445435 31.939581,-85.446016 31.939695,-85.44656 31.939909,-85.447111 31.940101,-85.447363 31.940149,-85.447618 31.940175,-85.448217 31.940171,-85.448818 31.940145,-85.449376 31.940104)",110685803594,Kennedy Road 1,M,S1400
"LINESTRING (-85.449651 31.878346,-85.450166 31.878348,-85.451351 31.878347,-85.451602 31.87834,-85.451698 31.878333,-85.452466 31.878336,-85.452658 31.878335,-85.453318 31.878321,-85.453659 31.878336,-85.454256 31.878372,-85.454412 31.878375,-85.45454 31.878368,-85.454681 31.878354,-85.455081 31.878329,-85.45519 31.878332,-85.455269 31.87835,-85.455342 31.878391,-85.455394 31.878448,-85.455418 31.878516,-85.455428 31.878591,-85.455429 31.878737,-85.455418 31.87903,-85.455406 31.879101,-85.455363 31.879164,-85.455335 31.879184)",110685799498,Nern St,M,S1400
"LINESTRING (-85.474575 31.90097,-85.474278 31.900895,-85.474024 31.900851,-85.473776 31.900822)",110685800784,Spires Rd,M,S1400
"LINESTRING (-85.345618 31.985388,-85.344569 31.985805,-85.342961 31.986535,-85.342532 31.986882,-85.34271 31.987203,-85.342951 31.987208,-85.343328 31.987094)",110685807761,,,S1740
"LINESTRING (-85.450717 31.884212,-85.450709 31.884455,-85.450683 31.884744,-85.450659 31.885621,-85.450655 31.885941,-85.450643 31.886553,-85.450632 31.886772,-85.450637 31.886818)",110685799720,Cedar St,M,S1400
"LINESTRING (-85.457365 31.884401,-85.457223 31.885454,-85.457191 31.885705)",110685802616,Whitehill Rd,M,S1400
"LINESTRING (-85.42351 31.864004,-85.423498 31.864065,-85.423466 31.864121,-85.42343 31.864157,-85.423347 31.864212,-85.423264 31.864296,-85.423202 31.864365,-85.423154 31.864441,-85.423112 31.864531,-85.423084 31.864621,-85.423064 31.864719,-85.423057 31.864815,-85.423057 31.865147,-85.423064 31.865292)",110685806370,,,S1400
"LINESTRING (-85.449649 31.878528,-85.449508 31.878406)",110685806928,,,S1400
"LINESTRING (-85.498521 31.902345,-85.498001 31.902167,-85.496551 31.901343,-85.494413 31.899716,-85.493619 31.899605,-85.49318 31.899742,-85.493089 31.900091,-85.492977 31.900245,-85.491849 31.900747,-85.491621 31.901154,-85.491684 31.901759,-85.491985 31.90245)",110685806322,,,S1400
"LINESTRING (-85.49155 31.88478,-85.491697 31.885312,-85.491739 31.885532,-85.491768 31.885752,-85.491765 31.885972,-85.491737 31.88619,-85.491673 31.886401,-85.491537 31.886735,-85.491479 31.886878,-85.491406 31.887045)",110685802213,Ventress Ln,M,S1400
"LINESTRING (-85.439551 31.750593,-85.439134 31.750821,-85.43809 31.750929)",110685806682,,,S1400
"LINESTRING (-85.640994 31.715088,-85.642154 31.715127,-85.643261 31.715149,-85.643481 31.715157)",110685801745,Brundige St,M,S1200
"LINESTRING (-85.484398 31.88631,-85.48468 31.886105,-85.485608 31.885603,-85.485695 31.885557,-85.485735 31.885528,-85.485758 31.885476,-85.485766 31.885457,-85.485854 31.885252,-85.485928 31.884573,-85.485941 31.884457,-85.485956 31.884328,-85.485931 31.884265,-85.485924 31.884218,-85.485871 31.884145,-85.485724 31.883994,-85.485619 31.883946,-85.485568 31.883924,-85.485533 31.88389,-85.485505 31.883832,-85.485514 31.883385)",110685803828,Robertson Airport Dr,M,S1400
"LINESTRING (-85.437758 31.878095,-85.437763 31.87795,-85.437773 31.877874,-85.437807 31.8778,-85.437858 31.87774,-85.437986 31.877642,-85.438034 31.877582,-85.438058 31.877511,-85.438062 31.877435,-85.438056 31.877346)",110685807440,,,S1400
"LINESTRING (-85.643481 31.715157,-85.643661 31.715405,-85.646263 31.718656,-85.646558 31.719015,-85.646865 31.719364,-85.647003 31.719505,-85.647194 31.719701,-85.647547 31.720017,-85.647731 31.72017,-85.647919 31.720318,-85.649494 31.721442,-85.649579 31.721495,-85.649711 31.721588,-85.649906 31.721709,-85.650102 31.72187,-85.651281 31.722702,-85.652464 31.723547,-85.65424 31.724805,-85.654946 31.725308)",110685803990,Shelley Jackson Shopping Plz,M,S1400
"LINESTRING (-85.637001 31.620416,-85.637207 31.620389,-85.638059 31.620259,-85.63848 31.62018,-85.638894 31.620087,-85.639304 31.61998,-85.639706 31.619856,-85.640105 31.619714,-85.640497 31.619563,-85.642049 31.618937,-85.642448 31.618797,-85.642852 31.618678,-85.643266 31.618576,-85.643688 31.618502,-85.644112 31.61845,-85.645408 31.618324,-85.646505 31.618222,-85.649341 31.617958,-85.650894 31.617824,-85.65132 31.617801,-85.651454 31.617803,-85.651747 31.617802,-85.652173 31.617831,-85.652599 31.617883,-85.653023 31.617959,-85.653432 31.618059,-85.653838 31.618184,-85.654225 31.618336,-85.654604 31.618507,-85.654968 31.618703,-85.655313 31.618913,-85.65908 31.62132,-85.659432 31.621524,-85.659801 31.621709,-85.660182 31.621864,-85.660583 31.621996,-85.66099 31.622109,-85.661815 31.622307,-85.663052 31.622602,-85.664697 31.623004,-85.666346 31.623405,-85.666756 31.623509,-85.66717 31.623604,-85.667576 31.623714,-85.667976 31.623838,-85.668369 31.623981,-85.668755 31.624139,-85.669135 31.624312,-85.669867 31.624693,-85.670164 31.624853,-85.670587 31.625081,-85.670958 31.625257,-85.671359 31.625387,-85.671777 31.625472,-85.672197 31.625505,-85.672624 31.625486,-85.673044 31.625421,-85.673457 31.625321,-85.673546 31.625298,-85.674274 31.625113,-85.674688 31.625023,-85.675104 31.624954,-85.675531 31.624913,-85.675817 31.624908,-85.675958 31.624905,-85.676384 31.624927,-85.676808 31.624974,-85.677226 31.625034,-85.677873 31.625136,-85.678115 31.625165,-85.678311 31.625205,-85.679847 31.625432,-85.68027 31.625485,-85.680693 31.625528,-85.681119 31.62556,-85.681544 31.625578,-85.681972 31.625582,-85.682394 31.625574,-85.683235 31.625546,-85.683556 31.625531,-85.683641 31.62553,-85.683726 31.625539,-85.683896 31.625609)",110685803391,Sutton Dairy Rd,M,S1400
"LINESTRING (-85.67267 31.61785,-85.673112 31.618493,-85.673344 31.618801,-85.673593 31.6191,-85.673852 31.619392,-85.67412 31.61968,-85.674392 31.619959,-85.674676 31.620231,-85.674973 31.620495,-85.676188 31.62153,-85.676484 31.621793,-85.676755 31.622076,-85.676996 31.622379,-85.677203 31.622701,-85.677378 31.623049,-85.677508 31.623388,-85.677632 31.623734,-85.677999 31.6248,-85.678079 31.62502,-85.678115 31.625165)",110685800116,Rodeo Rd,M,S1400
"LINESTRING (-85.670164 31.624853,-85.670434 31.62426,-85.669918 31.623854,-85.669151 31.623238,-85.668572 31.622306,-85.668799 31.621881,-85.668865 31.621754,-85.669754 31.621424,-85.670373 31.621523)",110685807026,,,S1400
"LINESTRING (-85.618429 31.709667,-85.618391 31.709734,-85.618307 31.709937,-85.618144 31.710354,-85.618055 31.71056,-85.617974 31.710768,-85.617824 31.711109,-85.617786 31.711174,-85.617734 31.711236,-85.617662 31.711282,-85.61758 31.711308,-85.61749 31.71131,-85.617405 31.711291,-85.617328 31.711256,-85.61711 31.711132,-85.617048 31.711079,-85.616961 31.710901)",110685798872,1st St,M,S1400
"LINESTRING (-85.671105 31.692716,-85.668876 31.692694,-85.668044 31.69258,-85.667425 31.692378)",110685807106,,,S1400
"LINESTRING (-85.660446 31.669034,-85.660187 31.669031,-85.660056 31.669029,-85.659539 31.668995,-85.659368 31.668988,-85.658686 31.668993,-85.658259 31.668998,-85.658002 31.668996,-85.657574 31.66898,-85.65732 31.668978,-85.656719 31.668956,-85.65621 31.668925,-85.655699 31.668889,-85.654596 31.668842,-85.654169 31.6688,-85.653918 31.668756,-85.653674 31.66869,-85.653013 31.668548,-85.652845 31.668517,-85.652679 31.668481,-85.652514 31.668438,-85.652354 31.668384,-85.652294 31.668352,-85.652208 31.668307,-85.652088 31.6682,-85.651952 31.668016,-85.65183 31.667829,-85.651771 31.667657)",110685800318,Church St,M,S1400
"LINESTRING (-85.673537 31.64783,-85.67383 31.647884)",110685807143,,,S1400
"LINESTRING (-85.615918 31.738655,-85.615943 31.738832,-85.616102 31.738962,-85.616687 31.739171,-85.616952 31.739367,-85.61716 31.739985,-85.617292 31.740183)",110685807092,,,S1400
"LINESTRING (-85.510709 31.672593,-85.511479 31.673352,-85.511479 31.673466,-85.511717 31.673788,-85.513688 31.673951,-85.515872 31.674529,-85.516618 31.67453,-85.517203 31.674348,-85.51888 31.673595,-85.519307 31.673504)",110685806677,,,S1400
"LINESTRING (-85.604358 31.707971,-85.604077 31.710371)",110685807685,,,S1740
"LINESTRING (-85.615403 31.70137,-85.615416 31.70129,-85.615414 31.701212,-85.615491 31.700329,-85.615501 31.699966,-85.615498 31.699764,-85.615476 31.699565)",110685799507,Pike Cir,M,S1400
"LINESTRING (-85.554321 31.688781,-85.554418 31.688661,-85.554555 31.688571,-85.554639 31.688544,-85.554805 31.688502,-85.555552 31.688348,-85.555735 31.688324,-85.55613 31.688276,-85.556377 31.688224,-85.556616 31.68815,-85.556818 31.688064)",110685801764,Campbell Dr,M,S1400
"LINESTRING (-85.535404 31.646339,-85.535364 31.646284,-85.53527 31.646186,-85.535056 31.646021)",110685802427,Jerusalem Rd,M,S1400
"LINESTRING (-85.610802 31.738485,-85.610921 31.738479,-85.611045 31.738458,-85.611135 31.738453,-85.611155 31.738652)",1105598242056,Shipman Rd,M,S1400
"LINESTRING (-85.725857 31.618093,-85.725962 31.618091,-85.726143 31.618086,-85.726448 31.618079,-85.726506 31.618078,-85.728674 31.618054,-85.729617 31.618051,-85.729739 31.618056,-85.729872 31.618061,-85.730123 31.618102,-85.730271 31.618145,-85.730286 31.61815,-85.730376 31.618189,-85.73044 31.618216,-85.730466 31.618231,-85.730484 31.618241)",1103689671683,Co Rd 77,C,S1400
"LINESTRING (-85.574852 31.661683,-85.574877 31.661477,-85.57484 31.661367)",110685807606,,,S1740
"LINESTRING (-85.568961 31.648417,-85.571235 31.647692)",110685807605,,,S1740
"LINESTRING (-85.525994 31.645677,-85.526156 31.645663,-85.526249 31.645647,-85.52633 31.645605,-85.526295 31.645535,-85.526192 31.645551,-85.526092 31.645605,-85.525994 31.645677)",110685803230,Charlie Hall Rd,M,S1400
"LINESTRING (-85.608642 31.645538,-85.608545 31.64554,-85.608383 31.645519,-85.608139 31.645518,-85.607807 31.645526,-85.607469 31.645543,-85.606959 31.645582,-85.606534 31.645612,-85.606362 31.645618,-85.605848 31.645617,-85.605678 31.645621,-85.60551 31.645634,-85.605346 31.645654,-85.60518 31.645683,-85.604859 31.645767,-85.60446 31.64589,-85.604223 31.645975,-85.60344 31.646272,-85.603042 31.646413,-85.602876 31.646462,-85.602706 31.646493,-85.602534 31.646492,-85.602387 31.646424,-85.602299 31.646303,-85.60224 31.64617,-85.602203 31.646032,-85.602175 31.645889,-85.602157 31.645745,-85.602152 31.645599,-85.602156 31.645526,-85.602181 31.645381,-85.602199 31.645311,-85.602224 31.645241,-85.602285 31.645104,-85.602361 31.644974,-85.60243 31.644839,-85.602475 31.644695,-85.602491 31.644477,-85.602485 31.644258,-85.602438 31.643602,-85.602402 31.642874,-85.602381 31.642364,-85.602376 31.641926,-85.602383 31.641485,-85.602382 31.641264,-85.602398 31.640311,-85.602419 31.639869,-85.602394 31.639723,-85.602373 31.63965,-85.602339 31.639584,-85.602295 31.639522,-85.602239 31.639465,-85.602166 31.639422,-85.60202 31.639349,-85.601939 31.639328,-85.601776 31.639304,-85.601528 31.639294,-85.600508 31.639314,-85.600166 31.639301,-85.599995 31.639279,-85.599833 31.639233,-85.599701 31.639144,-85.599654 31.639085,-85.599587 31.638952,-85.599571 31.638881,-85.599568 31.63881,-85.599576 31.638669,-85.59961 31.638312,-85.599614 31.638164,-85.599609 31.638019,-85.599598 31.637873,-85.599566 31.637583,-85.599539 31.637439,-85.599469 31.637154,-85.599422 31.637013,-85.599333 31.636806,-85.599262 31.636672,-85.599183 31.636541,-85.599096 31.636416,-85.599001 31.636294,-85.598895 31.636176,-85.598776 31.636069,-85.598711 31.63602,-85.598574 31.635932,-85.598499 31.635891,-85.598346 31.635824,-85.598266 31.635797,-85.598103 31.63575,-85.59802 31.635732,-85.597772 31.635691,-85.597515 31.635669,-85.597345 31.635661,-85.596065 31.635668,-85.595056 31.63569,-85.594692 31.635698,-85.59452 31.635696,-85.594348 31.635689,-85.59408 31.635672,-85.594063 31.635471,-85.594037 31.635334,-85.594019 31.635196,-85.593994 31.63491,-85.593988 31.634767,-85.59398 31.634259,-85.593951 31.63317,-85.593897 31.630982,-85.593872 31.629147,-85.593854 31.628552,-85.593837 31.628401,-85.593821 31.628324,-85.593684 31.628159)",110685803557,Commander Hill Rd,M,S1400
"LINESTRING (-85.55568 31.63052,-85.555755 31.630605,-85.555696 31.631236,-85.555493 31.631517,-85.555163 31.631683,-85.554648 31.631981,-85.554433 31.632027,-85.554375 31.63222,-85.554097 31.632514,-85.553758 31.632484)",110685806690,,,S1400
"LINESTRING (-85.572457 31.685008,-85.572482 31.684917,-85.572511 31.684838,-85.572555 31.684785)",110685802652,Cap Warren Rd,M,S1400
"LINESTRING (-85.602282 31.727089,-85.602422 31.727087,-85.602757 31.727094,-85.603035 31.727108,-85.603317 31.727126,-85.603417 31.72713,-85.603491 31.727169,-85.603583 31.727286,-85.603614 31.727352,-85.60366 31.727408,-85.603716 31.727439,-85.603877 31.727553,-85.603971 31.727604,-85.604016 31.727643,-85.604051 31.727692,-85.604077 31.727766,-85.604122 31.727862,-85.604224 31.728177,-85.604371 31.728543,-85.604523 31.728671,-85.60469 31.728752,-85.604909 31.728733,-85.605085 31.728657,-85.605328 31.728395,-85.605542 31.728143)",110685806958,,,S1400
"LINESTRING (-85.593684 31.628159,-85.593541 31.628238,-85.593464 31.628249,-85.59306 31.628297,-85.591802 31.628426,-85.590532 31.628563,-85.589769 31.628637,-85.588238 31.628795,-85.587814 31.628836,-85.587506 31.628869,-85.586718 31.628952,-85.586213 31.629002,-85.584947 31.629132,-85.584191 31.629217,-85.584122 31.629226,-85.583769 31.629274,-85.583349 31.629363,-85.583187 31.629405,-85.582786 31.629533,-85.58255 31.629618,-85.582394 31.62968,-85.582238 31.629748,-85.582013 31.629854,-85.581721 31.630004,-85.581578 31.630087,-85.581374 31.63022,-85.580969 31.630495,-85.580783 31.630648,-85.580249 31.631135,-85.580075 31.631302,-85.579889 31.63147,-85.579678 31.631667,-85.578907 31.632385,-85.577679 31.633511,-85.57699 31.634161,-85.576293 31.634806,-85.572938 31.637932,-85.571428 31.639334,-85.571072 31.639654,-85.570682 31.639943,-85.570275 31.640214,-85.570061 31.640338,-85.569616 31.640559,-85.569385 31.64066,-85.568994 31.640817,-85.568543 31.640994)",110685804006,Teal's Crossroads,M,S1400
"LINESTRING (-85.590784 31.705073,-85.590915 31.705194,-85.590967 31.705253,-85.591078 31.705363,-85.591264 31.705511,-85.591929 31.70597,-85.592023 31.70604,-85.592314 31.706256,-85.592383 31.7063)",110685801606,Simmons Rd,M,S1400
"LINESTRING (-85.605162 31.716305,-85.605106 31.716255,-85.60502 31.716267,-85.604829 31.716414,-85.604751 31.716448)",110685807707,,,S1740
"LINESTRING (-85.608786 31.708622,-85.608784 31.708301)",110685806644,,,S1400
"LINESTRING (-85.608327 31.707018,-85.608467 31.707013,-85.608638 31.70702,-85.608794 31.707067,-85.608874 31.707097)",110685806620,,,S1400
"LINESTRING (-85.610809 31.708066,-85.611502 31.708303,-85.611664 31.708367)",110685802707,Don Sutton St,M,S1400
"LINESTRING (-85.547974 31.685183,-85.547957 31.684731,-85.547964 31.68431,-85.547998 31.684189,-85.548072 31.684127,-85.548235 31.684071,-85.548371 31.683985,-85.548416 31.683919)",110685807631,,,S1740
"LINESTRING (-85.622514 31.730695,-85.62238 31.73081,-85.622381 31.732047,-85.622461 31.732391,-85.622542 31.732437,-85.622918 31.733857,-85.623186 31.734315)",110685807031,,,S1400
"LINESTRING (-85.589871 31.699066,-85.589907 31.699131,-85.589906 31.699202,-85.589882 31.699553,-85.589881 31.699645,-85.589878 31.699915,-85.589892 31.700643,-85.589876 31.701008,-85.589874 31.701371,-85.589877 31.701687,-85.589881 31.702102,-85.589874 31.702469,-85.589835 31.702833,-85.589786 31.703195,-85.589776 31.70356,-85.589782 31.703925,-85.589798 31.704146,-85.589821 31.704293,-85.589859 31.704438,-85.589916 31.704582,-85.590009 31.704839)",110685800200,Tyler St,M,S1400
"LINESTRING (-85.448813 31.671426,-85.448685 31.671385,-85.448602 31.671377)",110685798680,Co Rd 43,C,S1400
"LINESTRING (-85.44517 31.681275,-85.445621 31.681313,-85.44628 31.681577,-85.446561 31.68164,-85.446834 31.681672,-85.447144 31.681695,-85.447434 31.681605,-85.447687 31.681379,-85.447827 31.681241,-85.447883 31.681088)",110685807644,,,S1740
"LINESTRING (-85.442652 31.679968,-85.443546 31.680418,-85.444874 31.68098,-85.44517 31.681275)",110685807652,,,S1740
"LINESTRING (-85.46617 31.658527,-85.465543 31.657932,-85.465059 31.657562)",110685807558,,,S1740
"LINESTRING (-85.471077 31.641666,-85.471298 31.641742,-85.471712 31.641838,-85.472136 31.641894,-85.472562 31.641922,-85.472988 31.641943,-85.473841 31.642003,-85.474267 31.642019,-85.475119 31.64204,-85.475546 31.642066,-85.47597 31.64211,-85.476381 31.642202,-85.476778 31.642338,-85.47755 31.642653,-85.477923 31.642828,-85.478271 31.643037,-85.47895 31.643472,-85.479288 31.643694,-85.479632 31.643907,-85.479999 31.644092,-85.48039 31.644237,-85.480804 31.644337,-85.481204 31.644457,-85.481578 31.644625,-85.481976 31.644753,-85.482389 31.644836,-85.482809 31.6449,-85.483063 31.644928,-85.483232 31.64493,-85.483652 31.644891,-85.484073 31.644844,-85.485249 31.644697,-85.485333 31.644682,-85.485427 31.644673)",110685802767,John Scott Rd,M,S1400
"LINESTRING (-85.444827 31.641875,-85.444892 31.641755,-85.444971 31.641725,-85.445056 31.641713,-85.445311 31.641688,-85.445735 31.641636,-85.446153 31.641569,-85.446571 31.641482,-85.446987 31.641385,-85.447407 31.641298,-85.447817 31.641192,-85.448039 31.641117,-85.448629 31.640917,-85.449562 31.640571,-85.449722 31.640508,-85.449912 31.640444)",110685800911,Walker Loop,M,S1400
"LINESTRING (-85.418278 31.628532,-85.418209 31.628598,-85.418151 31.628647,-85.418085 31.628696,-85.418026 31.628734,-85.417896 31.628836,-85.41731 31.629133,-85.41623 31.629701)",110685798744,Co Rd 54,C,S1400
"LINESTRING (-85.562507 31.621537,-85.563685 31.621323)",110685801197,Concord Rd,M,S1400
"LINESTRING (-85.601746 31.707613,-85.601815 31.707772)",110685799212,Pea St,M,S1400
"LINESTRING (-85.69221 31.668854,-85.692211 31.66542)",110685807272,,,S1400
"LINESTRING (-85.474095 31.627443,-85.473667 31.62813,-85.472382 31.629551,-85.471981 31.63033,-85.472008 31.630674,-85.472195 31.63104,-85.473378 31.632359,-85.47343 31.632417,-85.473773 31.633009,-85.474163 31.634239,-85.474301 31.634311)",110685807736,,,S1740
"LINESTRING (-85.646583 31.715435,-85.646715 31.71562,-85.646768 31.715672,-85.646854 31.715672,-85.646939 31.715663,-85.647014 31.715629,-85.647044 31.715562,-85.647058 31.715491,-85.647103 31.715351,-85.647107 31.715278,-85.647097 31.715207,-85.647134 31.715069)",110685806275,,,S1400
"LINESTRING (-85.147082 31.87013,-85.147604 31.870365,-85.147989 31.870526,-85.148135 31.870608,-85.148246 31.870726,-85.148308 31.870866,-85.148345 31.871011,-85.148722 31.872651,-85.148756 31.872828)",110685802375,Fairlane Dr,M,S1400
"LINESTRING (-85.16551 31.8606,-85.165816 31.860607,-85.166489 31.860615,-85.166663 31.860605,-85.166866 31.860601,-85.167059 31.860663,-85.167637 31.860808,-85.168126 31.860948,-85.168434 31.861085,-85.168545 31.86119,-85.168627 31.861299,-85.168731 31.861396)",110685801047,Brantly Dr,M,S1400
"LINESTRING (-85.618559 31.705159,-85.618473 31.705154,-85.618277 31.705168,-85.617973 31.705187)",1103485116483,Reynolds Ave,M,S1400
"LINESTRING (-85.167203 31.858928,-85.167224 31.859001,-85.167233 31.859359,-85.167219 31.859419,-85.167195 31.859369,-85.167187 31.859012,-85.167203 31.858928)",110685800490,Lapine,M,S1400
"LINESTRING (-85.171123 31.858857,-85.171 31.858825,-85.17091 31.858825,-85.170738 31.858835,-85.169625 31.858873,-85.168601 31.858902,-85.167334 31.85893,-85.167203 31.858928,-85.167095 31.858924,-85.166404 31.858937,-85.166225 31.858944,-85.166024 31.858938)",110685800059,Pecan St,M,S1400
"LINESTRING (-85.148535 31.856694,-85.148784 31.856686,-85.149038 31.856662,-85.149209 31.856661,-85.149441 31.856682)",110685806785,,,S1400
"LINESTRING (-85.166594 31.851123,-85.166834 31.851153)",110685806343,,,S1400
"LINESTRING (-85.147357 31.845244,-85.147307 31.845384,-85.147242 31.845596,-85.147183 31.845809,-85.147163 31.845957,-85.147178 31.846103,-85.147224 31.846319,-85.147277 31.846532,-85.147279 31.846679,-85.147247 31.846818,-85.147171 31.846946,-85.147043 31.847137,-85.146963 31.847348,-85.14687 31.847864,-85.14669 31.848115,-85.146402 31.848497,-85.146275 31.848674,-85.146191 31.848794,-85.146151 31.84886,-85.146091 31.849002,-85.146052 31.849146,-85.146031 31.849291,-85.146029 31.849436,-85.145905 31.853012,-85.145892 31.853528)",110685803067,Hummingbird Ln,M,S1400
"LINESTRING (-85.165597 31.841177,-85.165439 31.84124,-85.165101 31.841385)",110685806652,,,S1400
"LINESTRING (-85.231908 31.875298,-85.231859 31.875271,-85.231689 31.875244,-85.23135 31.875213,-85.230922 31.875214,-85.230753 31.87522,-85.230593 31.875266,-85.230538 31.875318,-85.230495 31.875378,-85.230454 31.875517,-85.230447 31.875661,-85.230452 31.875948,-85.230463 31.876172,-85.230442 31.876319,-85.230441 31.876464,-85.230452 31.876679,-85.230439 31.876827)",110685803103,Meadowbrook Dr,M,S1400
"LINESTRING (-85.145075 31.877377,-85.145406 31.877398,-85.145578 31.877397,-85.145659 31.877357,-85.145694 31.877287,-85.145697 31.877263,-85.145715 31.877141)",110685803446,Hunters Inlet Rd,M,S1400
"LINESTRING (-85.21559 31.875397,-85.215021 31.875083,-85.214468 31.875087,-85.214338 31.875127,-85.214081 31.875232)",110685800376,Dudley Dr,M,S1400
"LINESTRING (-85.149643 31.877709,-85.150032 31.877755,-85.15012 31.877761,-85.150719 31.877773,-85.151393 31.877802,-85.15147 31.877798)",110685802205,Triangle Ln,M,S1400
"LINESTRING (-85.427477 32.135911,-85.426647 32.136206,-85.425274 32.136232,-85.425296 32.135786,-85.424977 32.135492,-85.423892 32.135132,-85.422386 32.13418,-85.421271 32.132506,-85.421044 32.132289,-85.419707 32.131017,-85.419113 32.130212,-85.419329 32.129305,-85.418815 32.129161,-85.418242 32.128904,-85.417059 32.128383,-85.414568 32.129007,-85.412855 32.128931,-85.411753 32.12865,-85.410827 32.12827,-85.409568 32.128155,-85.408533 32.128431,-85.407327 32.128185,-85.404993 32.128216,-85.404073 32.128054,-85.40358 32.128434,-85.402205 32.128666,-85.40121 32.128538,-85.400507 32.128655,-85.398942 32.128116,-85.398437 32.127923)",110685807526,,,S1500
